Team_Abbr,query_year,query_month,G,GS,SV,IP,H,R,ER,BB,SO,HR,HBP,AB,IBB,GDP,ERA,SO9,BB9
MIA,2017,8,98.0,2.0,10.0,114.34,101.0,54.0,49.0,33.0,99.0,13.0,5.0,420.0,3.0,10.0,3.856917963967115,7.792548539443764,2.597516179814588
MIL,2017,8,82.0,0.0,14.0,87.99,72.0,26.0,24.0,46.0,104.0,7.0,7.0,321.0,2.0,8.0,2.4548244118649847,10.637572451414934,4.7050801227412204
MIN,2017,8,80.0,2.0,8.0,102.0,74.0,40.0,39.0,24.0,96.0,12.0,6.0,365.0,3.0,9.0,3.441176470588235,8.470588235294118,2.1176470588235294
NYM,2017,8,96.0,0.0,6.0,100.33,79.0,44.0,40.0,51.0,107.0,15.0,3.0,365.0,5.0,6.0,3.5881590750523276,9.598325525764977,4.574902820691717
NYY,2017,8,76.0,0.0,8.0,96.01,75.0,43.0,42.0,37.0,114.0,14.0,6.0,355.0,2.0,3.0,3.9370898864701593,10.686386834704717,3.468388709509426
PHI,2017,8,86.0,0.0,8.0,94.34,104.0,55.0,52.0,39.0,90.0,11.0,6.0,375.0,4.0,5.0,4.960780156879372,8.585965656137375,3.7205851176595295
PIT,2017,8,84.0,0.0,8.0,91.0,94.0,62.0,56.0,39.0,86.0,18.0,6.0,363.0,1.0,4.0,5.538461538461538,8.505494505494505,3.8571428571428568
SDP,2017,8,84.0,0.0,8.0,84.67,70.0,50.0,48.0,39.0,87.0,21.0,4.0,311.0,6.0,8.0,5.102161332231015,9.247667414668713,4.1455060824376995
SEA,2017,8,88.0,0.0,11.0,101.01,102.0,51.0,46.0,38.0,93.0,11.0,7.0,384.0,3.0,7.0,4.098604098604098,8.286308286308286,3.3858033858033854
SFG,2017,8,78.0,2.0,7.0,88.68,90.0,51.0,43.0,34.0,88.0,11.0,6.0,351.0,3.0,3.0,4.364005412719892,8.930987821380242,3.450608930987821
STL,2017,8,97.0,0.0,8.0,90.33,84.0,47.0,44.0,31.0,93.0,11.0,7.0,348.0,5.0,4.0,4.383925606110927,9.266024576552642,3.0886748588508803
TBR,2017,8,83.0,0.0,11.0,89.33,62.0,26.0,25.0,24.0,86.0,11.0,1.0,319.0,4.0,8.0,2.5187506996529723,8.664502406806225,2.418000671666853
TEX,2017,8,70.0,0.0,5.0,82.01,73.0,38.0,33.0,35.0,68.0,8.0,5.0,309.0,0.0,9.0,3.621509572003414,7.462504572613096,3.8409950006096816
TOR,2017,8,99.0,1.0,9.0,96.99,108.0,58.0,54.0,40.0,106.0,13.0,7.0,390.0,3.0,7.0,5.010825858335911,9.836065573770492,3.711722858026601
WAS,2017,8,89.0,1.0,10.0,89.33,78.0,36.0,36.0,28.0,75.0,8.0,4.0,332.0,3.0,7.0,3.62700100750028,7.556252098958916,2.821000783611329
ARI,2017,9,105.0,1.0,7.0,85.67,78.0,44.0,40.0,31.0,77.0,8.0,3.0,319.0,0.0,10.0,4.202171121746236,8.089179409361503,3.2566826193533327
ATH,2017,9,109.0,1.0,7.0,104.01,102.0,56.0,54.0,36.0,92.0,15.0,6.0,402.0,3.0,5.0,4.6726276319584645,7.9607730025959045,3.1150850879723104
