player_name,retro_id,mlb_id,bref_id,fg_id,Team
Jair Camargo,camaj002,665856,camarja01,21730,
Jefry Marte,martj007,527043,marteje01,5107,
Carlos Asuaje,asuac001,641319,asuajca01,15197,
Kendrys Morales,morak001,434778,moralke01,8610,
Seth Mejias-Brean,mejis001,623180,mejiase01,13905,
Joe McCarthy,mccaj002,663411,mccarjo04,18399,
Yoshi Tsutsugo,tsuty001,660294,tsutsyo01,27459,
Justin Williams,willj006,642211,williju02,15490,
Will Craig,craiw001,643269,craigwi01,19267,
Patrick Kivlehan,kivlp001,623182,kivlepa01,13910,
Starlin Castro,casts001,516770,castrst01,4579,
Brian Miller,millb003,675649,millebr03,20047,
Eugenio Suarez,suare001,553993,suareeu01,12552,
Alejo Lopez,lopea005,664670,lopezal03,21127,
Didi Gregorius,gregd001,544369,gregodi01,6012,
Seth Beer,beers001,666179,beerse01,20493,
David MacKinnon,mackd001,676950,mackida01,19625,
Israel Pineda,pinei001,672832,pinedis01,22906,
Coco Montes,montc002,663796,monteco01,21547,
Jared Young,younj003,676724,youngja02,20404,
Taylor Kohlwey,kohlt001,670128,kohlwta01,19212,
Carson McCusker,mccuc001,676812,mccusca01,33098,
Matt Kemp,kempm001,461314,kempma01,5631,
Yandy Diaz,diazy001,650490,diazya01,16578,
Jarrod Saltalamacchia,saltj001,457454,saltaja01,5557,
Greg Bird,birdg001,595885,birdgr01,14131,
Domingo Santana,santd002,570267,santado01,10348,
Mark Reynolds,reynm001,448602,reynoma01,7619,
Paul Goldschmidt,goldp001,502671,goldspa01,9218,
Harold Ramirez,ramih004,623912,ramirha02,14387,
Jorge Soler,solej001,624585,solerjo01,14221,
Bryan Reynolds,reynb001,668804,reynobr01,19326,
Miguel Cabrera,cabrm001,408234,cabremi01,1744,
Eloy Jimenez,jimee001,650391,jimenel02,17484,
John Nogowski,nogoj001,596056,nogowjo01,16852,
Sandro Fabian,fabis001,660758,fabiasa01,19910,
Braxton Lee,lee-b001,657658,leebr01,16839,
Justin Smoak,smoaj001,475253,smoakju01,9054,
Nolan Arenado,arenn001,571448,arenano01,9777,
Yordan Alvarez,alvay001,670541,alvaryo01,19556,
Brandon Barnes,barnb002,488681,barnebr02,629,
Shin-Soo Choo,choos001,425783,choosh01,3174,
JD Martinez,martj006,502110,martijd02,6184,
Tyler Black,blact003,672012,blackty01,29949,
Esteban Quiroz,quire001,606019,quiroes01,19780,
John Means,meanj001,607644,meansjo01,16269,
Sam Hentges,hents001,656529,hentgsa01,18548,
Victor Gonzalez,gonzv001,624647,gonzavi02,16408,
Brad Keller,kellb003,641745,kellebr01,15734,
Bailey Ober,oberb002,641927,oberba01,21224,
David Hess,hessd001,605276,hessda01,16130,
Alek Manoah,manoa001,666201,manoaal01,26410,
Corey Kluber,klubc001,446372,klubeco01,2429,
Clarke Schmidt,schmc002,657376,schmicl01,19899,
Darren Baker,baked003,671117,bakerda02,29912,
Rhylan Thomas,thomr008,689041,thomarh01,31793,
Michael Fulmer,fulmm001,605242,fulmemi01,13218,
Scott Alexander,alexs001,518397,alexasc02,10591,
Alex Cobb,cobba001,502171,cobbal01,6562,
Nolan Fontana,fontn001,545337,fontano01,13267,
Erasmo Ramirez,ramie004,541640,ramirer02,10314,
Drew Hutchison,hutcd001,571800,hutchdr01,10732,
Tyler Glasnow,glast001,607192,glasnty01,14374,
Ariel Jurado,juraa001,642558,juradar01,17030,
Jalen Beeks,beekj001,656222,beeksja02,17192,
Triston McKenzie,mcket001,663474,mckentr01,18000,
Greg Jones,joneg003,675659,jonesgr02,25448,
Dan Butler,butld001,576788,butleda01,9968,
Edinson Volquez,volqe001,450172,volqued01,3990,
Kendall Graveman,gravk001,608665,graveke01,15514,
Cristian Javier,javic001,664299,javiecr01,17606,
Colten Brewer,brewc002,605155,breweco01,12997,
Sixto Sanchez,sancs001,664350,sanchsi01,19680,
Ramon Rosso,rossr003,665759,rossora01,20368,
Hunter Greene,greeh001,668881,greenhu01,22182,
Nick Lodolo,lodon001,666157,lodolni01,26378,
Jeffrey Springs,sprij001,605488,sprinje01,17677,
George Kirby,kirbg001,669923,kirbyge01,25436,
Davis Martin,martd006,663436,martida03,21448,
Elvin Rodriguez,rodre005,660730,rodriel02,20962,
Evan Lee,lee-e001,681885,leeev01,24988,
John Brebbia,brebj001,605154,brebbjo01,12777,
Jared Koenig,koenj001,657649,koenija01,27517,
Josh Winckowski,wincj001,670174,winckjo01,22387,
Jackson Tetreault,tetrj001,676194,tetreja01,20565,
Nick Nelson,nelsn001,656793,nelsoni01,20153,
Brayan Bello,bellb002,678394,bellobr01,23920,
Janson Junk,junkj001,676083,junkja01,23301,
Cole Ragans,ragac001,666142,raganco01,21846,
Bryce Miller,millb004,682243,millebr04,29837,
Kyle Harrison,harrk001,690986,harriky01,27758,
Zack Thompson,thomz002,668868,thompza02,25918,
Zach Neal,nealz001,594943,nealza01,11294,
James McArthur,mcarj001,663704,mcartja01,21527,
Andrew Wantz,wanta001,681806,wantzan01,24933,
Trevor Megill,megit001,656730,megiltr01,17722,
Jonathan Bowlan,bowlj001,680742,bowlajo01,24607,
Nick Nastrini,nastn001,680897,nastrni01,29833,
Erik Miller,mille002,669062,milleer01,26252,
Nick Tropeano,tropn001,607374,tropeni01,12385,
Artie Lewicki,lewia001,592499,lewicar01,16731,
Riley O'Brien,obrir001,676617,obrieri01,20348,
